Rank,Title,Score,Type,Episodes,Aired_Date,Members
796,Bungou Stray Dogs Wan!,7.97,TV,12,Jan 2021 - Mar 2021,"137,528 members"
797,Code Geass: Hangyaku no Lelouch III - Oudou,7.97,Movie,1,May 2018 - May 2018,"105,971 members"
798,Densetsu Kyojin Ideon: Hatsudou-hen,7.97,Movie,1,Jul 1982 - Jul 1982,"13,507 members"
799,Durarara!!x2 Shou,7.97,TV,12,Jan 2015 - Mar 2015,"517,388 members"
800,Eve no Jikan,7.97,ONA,6,Aug 2008 - Sep 2009,"197,505 members"
801,Gake no Ue no Ponyo,7.97,Movie,1,Jul 2008 - Jul 2008,"665,213 members"
802,Girls & Panzer: Saishuushou Part 1,7.97,Movie,1,Dec 2017 - Dec 2017,"60,026 members"
803,Jian Lai 2nd Season,7.97,ONA,27,Dec 2025 - Apr 2026,"1,500 members"
804,Kami nomi zo Shiru Sekai: Megami-hen,7.97,TV,12,Jul 2013 - Sep 2013,"369,689 members"
805,Kidou Senshi Gundam Thunderbolt: December Sky,7.97,Movie,1,Jun 2016 - Jun 2016,"29,363 members"
806,Kimi ni Todoke 2nd Season,7.97,TV,12,Jan 2011 - Mar 2011,"565,867 members"
807,Kindaichi Shounen no Jikenbo,7.97,TV,148,Apr 1997 - Sep 2000,"37,019 members"
808,Kizumonogatari: Koyomi Vamp,7.97,Movie,1,Jan 2024 - Jan 2024,"23,465 members"
809,Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Individual Eleven,7.97,OVA,1,Jan 2006 - Jan 2006,"33,199 members"
810,Kurenai no Buta,7.97,Movie,1,Jul 1992 - Jul 1992,"293,044 members"
811,School Rumble Ni Gakki,7.97,TV,26,Apr 2006 - Sep 2006,"173,413 members"
812,Shokugeki no Souma: San no Sara,7.97,TV,12,Oct 2017 - Dec 2017,"1,050,450 members"
813,xxxHOLiC,7.97,TV,24,Apr 2006 - Sep 2006,"352,915 members"
814,Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu,7.96,Movie,1,Apr 2001 - Apr 2001,"13,789 members"
815,Durarara!!x2 Ten,7.96,TV,12,Jul 2015 - Sep 2015,"424,137 members"
816,Hidamari Sketch x Honeycomb,7.96,TV,12,Oct 2012 - Dec 2012,"28,032 members"
817,Hokuto no Ken,7.96,TV,109,Oct 1984 - Mar 1987,"145,089 members"
818,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,7.96,TV,14,Oct 2019 - Dec 2019,"383,984 members"
819,IDOLiSH7 Vibrato,7.96,ONA,8,Feb 2018 - Mar 2019,"18,161 members"
820,Kakushigoto,7.96,TV,12,Apr 2020 - Jun 2020,"357,172 members"
821,Kidou Senshi Gundam Thunderbolt,7.96,ONA,4,Dec 2015 - Apr 2016,"65,746 members"
822,"Komi-san wa, Comyushou desu. 2nd Season",7.96,TV,12,Apr 2022 - Jun 2022,"567,850 members"
823,Koukaku Kidoutai 2.0,7.96,Movie,1,Jul 2008 - Jul 2008,"95,034 members"
824,Mahou Shoujo Lyrical Nanoha A's,7.96,TV,13,Oct 2005 - Dec 2005,"70,281 members"
825,Ookiku Furikabutte: Natsu no Taikai-hen,7.96,TV,13,Apr 2010 - Jun 2010,"47,944 members"
826,Ranma ½ (2024),7.96,TV,12,Oct 2024 - Dec 2024,"178,868 members"
827,ReLIFE,7.96,TV,13,Jul 2016 - Sep 2016,"1,155,689 members"
828,Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,7.96,OVA,2,Dec 2001 - Mar 2002,"90,290 members"
829,Shen Yin Wangzuo Movie: Yi Lai Ke Si Chuanqi,7.96,ONA,1,Apr 2025 - Apr 2025,"1,660 members"
830,Wan Sheng Jie,7.96,ONA,12,Apr 2020 - May 2020,"33,743 members"
831,Youjo Senki,7.96,TV,12,Jan 2017 - Mar 2017,"1,072,808 members"
832,Aikatsu! 10th Story: Mirai e no Starway (2023),7.95,Movie,1,Jan 2023 - Jan 2023,"3,179 members"
833,Aria the Origination: Sono Choppiri Himitsu no Basho ni...,7.95,Special,1,Jun 2008 - Jun 2008,"23,981 members"
834,BanG Dream! Film Live 2nd Stage,7.95,Movie,1,Aug 2021 - Aug 2021,"10,098 members"
835,Eve no Jikan (Movie),7.95,Movie,1,Mar 2010 - Mar 2010,"131,778 members"
836,Fanren Xiu Xian Zhuan: Xinghai Feichi Prologue,7.95,ONA,4,Jul 2023 - Aug 2023,"15,095 members"
837,Full Moon wo Sagashite,7.95,TV,52,Apr 2002 - Mar 2003,"118,997 members"
838,Ginga Sengoku Gunyuuden Rai,7.95,TV,52,Apr 1994 - Mar 1995,"18,237 members"
839,High Score Girl: Extra Stage,7.95,OVA,3,Mar 2019 - Mar 2019,"83,070 members"
840,Jibaku Shounen Hanako-kun 2,7.95,TV,12,Jan 2025 - Mar 2025,"107,534 members"
841,Les Misérables: Shoujo Cosette,7.95,TV,52,Jan 2007 - Dec 2007,"34,997 members"
842,Macross F Movie 2: Sayonara no Tsubasa,7.95,Movie,1,Feb 2011 - Feb 2011,"30,129 members"
843,Macross: Do You Remember Love?,7.95,Movie,1,Jul 1984 - Jul 1984,"54,876 members"
844,Major Movie: Yuujou no Winning Shot,7.95,Movie,1,Dec 2008 - Dec 2008,"22,463 members"
845,Maoujou de Oyasumi,7.95,TV,12,Oct 2020 - Dec 2020,"254,665 members"
846,Sayonara Lara,7.95,TV,12,Jul 2026 - Sep 2026,"53,230 members"
847,Tennis no Oujisama: Zenkoku Taikai-hen - Final,7.95,OVA,7,Apr 2008 - Jan 2009,"39,419 members"
848,5-toubun no Hanayome∽,7.94,TV Special,2,Sep 2023 - Sep 2023,"103,876 members"
849,Akane-banashi,7.94,TV,12,Apr 2026 - Jun 2026,"76,405 members"
850,Douluo Dalu,7.94,ONA,26,Jan 2018 - Jul 2018,"34,985 members"
851,Fate/Grand Order: Zettai Majuu Sensen Babylonia,7.94,TV,21,Oct 2019 - Mar 2020,"317,646 members"
852,High Score Girl II,7.94,TV,9,Oct 2019 - Dec 2019,"153,122 members"
853,Kanon (2006),7.94,TV,24,Oct 2006 - Mar 2007,"294,734 members"
854,Kobato.,7.94,TV,24,Oct 2009 - Mar 2010,"178,852 members"
855,Kono Oto Tomare!,7.94,TV,13,Apr 2019 - Jun 2019,"357,171 members"
856,Non Non Biyori,7.94,TV,12,Oct 2013 - Dec 2013,"459,329 members"
857,Noragami,7.94,TV,12,Jan 2014 - Mar 2014,"2,337,944 members"
858,Rising Impact Season 2,7.94,ONA,14,Aug 2024 - Aug 2024,"16,163 members"
859,Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria,7.94,Movie,1,Oct 2021 - Oct 2021,"291,209 members"
860,Tekkon Kinkreet,7.94,Movie,1,Dec 2006 - Dec 2006,"125,914 members"
861,Working!!!,7.94,TV,13,Jul 2015 - Sep 2015,"265,799 members"
862,Wotaku ni Koi wa Muzukashii OVA,7.94,OVA,3,Mar 2019 - Oct 2021,"237,835 members"
863,Yofukashi no Uta,7.94,TV,13,Jul 2022 - Sep 2022,"801,088 members"
864,You Shou Yan 3rd Season,7.94,ONA,12,May 2024 - Jul 2024,"1,208 members"
