Rank,Title,Score,Type,Episodes,Aired_Date,Members
1002,Hibike! Euphonium Movie 2: Todoketai Melody,7.87,Movie,1,Sep 2017 - Sep 2017,"37,257 members"
1003,Higurashi no Naku Koro ni,7.87,TV,26,Apr 2006 - Sep 2006,"866,471 members"
1004,Hoozuki no Reitetsu 2nd Season: Sono Ni,7.87,TV,13,Apr 2018 - Jul 2018,"32,418 members"
1005,Jigoku Shoujo Futakomori,7.87,TV,26,Oct 2006 - Apr 2007,"172,832 members"
1006,JoJo no Kimyou na Bouken (TV),7.87,TV,26,Oct 2012 - Apr 2013,"1,892,894 members"
1007,K-On!,7.87,TV,13,Apr 2009 - Jun 2009,"1,143,049 members"
1008,Kidou Senshi Gundam: Suisei no Majo - Prologue,7.87,Special,1,Jul 2022 - Jul 2022,"56,931 members"
1009,Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo 2nd Season,7.87,TV,12,Jan 2025 - Mar 2025,"191,680 members"
1010,Liang Bu Yi 2nd Season,7.87,ONA,24,Oct 2022 - Apr 2023,"7,357 members"
1011,Magic Kaito 1412,7.87,TV,24,Oct 2014 - Mar 2015,"136,851 members"
1012,Mahou Shoujo Lyrical Nanoha: The Movie 1st,7.87,Movie,1,Jan 2010 - Jan 2010,"34,632 members"
1013,Megalo Box,7.87,TV,13,Apr 2018 - Jun 2018,"551,561 members"
1014,Meitantei Conan Movie 01: Tokei Jikake no Matenrou,7.87,Movie,1,Apr 1997 - Apr 1997,"80,090 members"
1015,Meitantei Conan Movie 23: Konjou no Fist,7.87,Movie,1,Apr 2019 - Apr 2019,"34,994 members"
1016,New Panty & Stocking with Garterbelt,7.87,TV,13,Jul 2025 - Sep 2025,"91,732 members"
1017,Ookiku Furikabutte,7.87,TV,25,Apr 2007 - Sep 2007,"107,172 members"
1018,Tennis no Oujisama: Zenkoku Taikai-hen - Semifinal,7.87,OVA,6,Jun 2007 - Jan 2008,"40,812 members"
1019,Terra e... (TV),7.87,TV,24,Apr 2007 - Sep 2007,"67,329 members"
1020,Yuanshen: Weixing Zhi Lu,7.87,ONA,1,May 2024 - May 2024,"4,568 members"
1021,Yuzuki-san Chi no Yonkyoudai.,7.87,TV,12,Oct 2023 - Dec 2023,"76,033 members"
1022,Anne Shirley,7.86,TV,24,Apr 2025 - Sep 2025,"56,745 members"
1023,Boku no Hero Academia 4th Season,7.86,TV,25,Oct 2019 - Apr 2020,"1,935,799 members"
1024,Capeta,7.86,TV,52,Oct 2005 - Sep 2006,"42,545 members"
1025,ef: A Tale of Memories.,7.86,TV,12,Oct 2007 - Dec 2007,"271,633 members"
1026,K-On!!: Keikaku!,7.86,Special,1,Mar 2011 - Mar 2011,"137,453 members"
1027,Kami nomi zo Shiru Sekai II,7.86,TV,12,Apr 2011 - Jun 2011,"411,929 members"
1028,Kingdom,7.86,TV,38,Jun 2012 - Feb 2013,"267,147 members"
1029,Kuroshitsuji: Kishuku Gakkou-hen,7.86,TV,11,Apr 2024 - Jun 2024,"114,528 members"
1030,Machikado Mazoku: 2-choume,7.86,TV,12,Apr 2022 - Jul 2022,"78,291 members"
1031,Meitantei Conan Movie 22: Zero no Shikkounin,7.86,Movie,1,Apr 2018 - Apr 2018,"36,386 members"
1032,Musekinin Kanchou Tylor,7.86,TV,26,Jan 1993 - Jul 1993,"55,733 members"
1033,Non Non Biyori Repeat: Hotaru ga Tanoshinda,7.86,OVA,1,Sep 2016 - Sep 2016,"54,330 members"
1034,One Piece Film: Gold,7.86,Movie,1,Jul 2016 - Jul 2016,"255,339 members"
1035,Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,7.86,OVA,1,Apr 2009 - Apr 2009,"183,425 members"
1036,Saiunkoku Monogatari,7.86,TV,39,Apr 2006 - Feb 2007,"106,093 members"
1037,Sonny Boy,7.86,TV,12,Jul 2021 - Oct 2021,"393,306 members"
1038,Soul Eater,7.86,TV,51,Apr 2008 - Mar 2009,"1,794,803 members"
1039,Tsue to Tsurugi no Wistoria,7.86,TV,12,Jul 2024 - Sep 2024,"421,638 members"
1040,Yume-iro Pâtissière,7.86,TV,50,Oct 2009 - Sep 2010,"92,483 members"
1041,Zan Sayonara Zetsubou Sensei,7.86,TV,13,Jul 2009 - Sep 2009,"114,667 members"
1042,Akachan to Boku,7.85,TV,35,Jul 1996 - Mar 1997,"38,051 members"
1043,Bishoujo Senshi Sailor Moon Cosmos Movie,7.85,Movie,2,Jun 2023 - Jun 2023,"29,183 members"
1044,Cool Doji Danshi,7.85,TV,24,Oct 2022 - Mar 2023,"116,140 members"
1045,Hidamari Sketch x 365,7.85,TV,13,Jul 2008 - Sep 2008,"47,373 members"
1046,High☆Speed! Movie: Free! Starting Days,7.85,Movie,1,Dec 2015 - Dec 2015,"100,718 members"
1047,K-On!: Live House!,7.85,Special,1,Jan 2010 - Jan 2010,"174,699 members"
1048,Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,7.85,OVA,1,Dec 2005 - Dec 2005,"15,664 members"
1049,Kotonoha no Niwa,7.85,Movie,1,May 2013 - May 2013,"942,269 members"
1050,Lupin III vs. Meitantei Conan: The Movie,7.85,Movie,1,Dec 2013 - Dec 2013,"37,233 members"
1051,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,7.85,TV,12,Jan 2023 - Mar 2023,"470,660 members"
1052,Quanzhi Gaoshou,7.85,ONA,12,Apr 2017 - Jun 2017,"397,009 members"
1053,Shingeki no Kyojin: Chronicle,7.85,Movie,1,Jul 2020 - Jul 2020,"100,897 members"
1054,Tennis no Oujisama,7.85,TV,178,Oct 2001 - Mar 2005,"199,230 members"
1055,Top wo Nerae! Gunbuster,7.85,OVA,6,Oct 1988 - Jul 1989,"147,008 members"
1056,Urusei Yatsura (2022) 2nd Season,7.85,TV,23,Jan 2024 - Jun 2024,"59,349 members"
1057,Wanmei Shijie,7.85,ONA,338,Apr 2021 -,"14,767 members"
1058,Wu Dong Qian Kun 3rd Season,7.85,ONA,12,May 2022 - Jul 2022,"5,717 members"
1059,Wu Shan Wu Xing (2020),7.85,ONA,3,Jul 2020 - Aug 2020,"74,534 members"
1060,Yuru Yuri Nachuyachumi!,7.85,OVA,1,Feb 2015 - Feb 2015,"79,672 members"
1061,Beelzebub,7.84,TV,60,Jan 2011 - Mar 2012,"636,597 members"
1062,Carole & Tuesday,7.84,TV,24,Apr 2019 - Oct 2019,"354,980 members"
1063,Dark Gathering,7.84,TV,25,Jul 2023 - Dec 2023,"193,146 members"
1064,Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks,7.84,TV Special,1,Feb 1993 - Feb 1993,"136,742 members"
1065,Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,7.84,OVA,7,Jul 1992 - Jan 1998,"31,549 members"
1066,Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,7.84,Movie,1,Feb 1988 - Feb 1988,"46,384 members"
1067,Haikyuu!! Riku vs. Kuu,7.84,OVA,2,Jan 2020 - Jan 2020,"353,236 members"
1068,Hanasaku Iroha Movie: Home Sweet Home,7.84,Movie,1,Mar 2013 - Mar 2013,"98,932 members"
1069,Kidou Senshi Gundam: Suisei no Majo,7.84,TV,12,Oct 2022 - Jan 2023,"190,700 members"
1070,Kuroko no Basket Movie 3: Winter Cup - Tobira no Mukou,7.84,Movie,1,Dec 2016 - Dec 2016,"62,605 members"
1071,Madogiwa no Totto-chan,7.84,Movie,1,Dec 2023 - Dec 2023,"5,931 members"
1072,Mairimashita! Iruma-kun 3rd Season,7.84,TV,21,Oct 2022 - Mar 2023,"257,829 members"
1073,Natsume Yuujinchou Shichi: Nobashita Te wa,7.84,Special,1,Apr 2025 - Apr 2025,"12,947 members"
1074,Noragami Aragoto OVA,7.84,OVA,2,Nov 2015 - Mar 2016,"274,263 members"
1075,One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,7.84,TV Special,1,Aug 2017 - Aug 2017,"48,617 members"
1076,Owarimonogatari 2nd Season Recaps,7.84,TV Special,2,Aug 2017 - Aug 2017,"28,845 members"
1077,Sayonara Zetsubou Sensei,7.84,TV,12,Jul 2007 - Sep 2007,"369,696 members"
1078,Seitokai Yakuindomo* OVA,7.84,OVA,10,May 2014 - Sep 2020,"86,539 members"
1079,Sekaiichi Hatsukoi OVA,7.84,OVA,2,Mar 2011 - Sep 2011,"74,942 members"
1080,Star☆Twinkle Precure: Hoshi no Uta ni Omoi wo Komete,7.84,Movie,1,Oct 2019 - Oct 2019,"5,231 members"
1081,Tonikaku Kawaii,7.84,TV,12,Oct 2020 - Dec 2020,"854,410 members"
1082,Tsuki ga Michibiku Isekai Douchuu 2nd Season,7.84,TV,25,Jan 2024 - Jun 2024,"345,970 members"
1083,Turn A Gundam,7.84,TV,50,Apr 1999 - Apr 2000,"56,753 members"
1084,Undead Girl Murder Farce,7.84,TV,13,Jul 2023 - Sep 2023,"189,090 members"
1085,Wu Dong Qian Kun 4th Season,7.84,ONA,12,Nov 2023 - Dec 2023,"3,243 members"
1086,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii,7.84,Movie,1,Apr 2017 - Apr 2017,"15,882 members"
1087,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,7.83,Movie,1,Aug 2013 - Aug 2013,"316,643 members"
1088,Arknights: Rise from Ember,7.83,TV,10,Jul 2025 - Sep 2025,"38,939 members"
1089,Durarara!! Specials,7.83,Special,2,Aug 2010 - Feb 2011,"174,863 members"
1090,Hoozuki no Reitetsu OVA,7.83,OVA,4,Feb 2015 - Mar 2017,"19,453 members"
1091,Magi: Sinbad no Bouken (TV),7.83,TV,13,Apr 2016 - Jul 2016,"522,985 members"
1092,Michiko to Hatchin,7.83,TV,22,Oct 2008 - Mar 2009,"226,045 members"
1093,New Initial D Movie: Legend 2 - Tousou,7.83,Movie,1,May 2015 - May 2015,"48,759 members"
1094,One Piece 3D2Y: Ace no Shi wo Koete! Luffy Nakama to no Chikai,7.83,TV Special,1,Aug 2014 - Aug 2014,"103,933 members"
1095,Oomuro-ke: Dear Sisters,7.83,Movie,1,Feb 2024 - Feb 2024,"19,638 members"
1096,Pokemon XY&Z,7.83,TV,47,Oct 2015 - Oct 2016,"168,795 members"
1097,Seihou Bukyou Outlaw Star,7.83,TV,24,Jan 1998 - Jun 1998,"173,020 members"
1098,Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,7.83,Movie,1,Mar 2014 - Mar 2014,"72,883 members"
1099,Shingeki no Kyojin: Lost Girls,7.83,OVA,3,Dec 2017 - Aug 2018,"342,231 members"
1100,SK∞ OVA: Extra Part,7.83,OVA,1,Mar 2025 - Mar 2025,"51,775 members"
1101,Tamayura: Sotsugyou Shashin Part 2 - Hibiki,7.83,Movie,1,Aug 2015 - Aug 2015,"12,510 members"
1102,Tiger & Bunny,7.83,TV,25,Apr 2011 - Sep 2011,"239,766 members"
1103,Tteotda Keunyeo!!,7.83,ONA,5,Apr 2003 - Dec 2008,"25,702 members"
1104,Uma Musume: Pretty Derby - Road to the Top,7.83,ONA,4,Apr 2023 - May 2023,"49,459 members"
1105,Wan Sheng Jie 4,7.83,ONA,12,Jul 2023 - Jul 2023,"19,375 members"
1106,Yomi no Tsugai,7.83,TV,24,Apr 2026 - Sep 2026,"239,699 members"
1107,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 4th Season: 2-nensei-hen 1 Gakki,7.83,TV,16,Apr 2026 - Jun 2026,"258,978 members"
1108,5-toubun no Hanayome Movie,7.82,Movie,1,May 2022 - May 2022,"335,185 members"
1109,91 Days,7.82,TV,12,Jul 2016 - Oct 2016,"803,158 members"
1110,Aishang Ta de Liyou,7.82,ONA,22,Apr 2023 - Jun 2023,"57,458 members"
1111,Aoki Hagane no Arpeggio: Ars Nova Movie 2 - Cadenza,7.82,Movie,1,Oct 2015 - Oct 2015,"45,449 members"
1112,Boku no Hero Academia,7.82,TV,13,Apr 2016 - Jun 2016,"3,349,128 members"
1113,Break Blade Movie 4: Sanka no Chi,7.82,Movie,1,Oct 2010 - Oct 2010,"71,558 members"
1114,City Hunter 3,7.82,TV,13,Oct 1989 - Jan 1990,"37,376 members"
1115,Crayon Shin-chan,7.82,TV,?,Apr 1992 -,"95,463 members"
1116,Danshi Koukousei no Nichijou Specials,7.82,Special,6,Apr 2012 - Sep 2012,"159,814 members"
1117,Digimon Adventure: Bokura no War Game!,7.82,Movie,1,Mar 2000 - Mar 2000,"99,116 members"
1118,Enen no Shouboutai: Ni no Shou,7.82,TV,24,Jul 2020 - Dec 2020,"936,552 members"
1119,Flanders no Inu (Movie),7.82,Movie,1,Mar 1997 - Mar 1997,"36,516 members"
1120,Giji Harem,7.82,TV,12,Jul 2024 - Sep 2024,"241,331 members"
1121,Gnosia,7.82,TV,21,Oct 2025 - Mar 2026,"59,764 members"
1122,Gungrave,7.82,TV,26,Oct 2003 - Mar 2004,"221,550 members"
1123,Heike Monogatari,7.82,TV,11,Jan 2022 - Mar 2022,"95,593 members"
1124,Hidamari Sketch x ☆☆☆ Specials,7.82,TV Special,2,Oct 2010 - Oct 2010,"28,712 members"
1125,Igano Kabamaru,7.82,TV,24,Oct 1983 - Mar 1984,"12,915 members"
1126,Jibaku Shounen Hanako-kun,7.82,TV,12,Jan 2020 - Mar 2020,"698,514 members"
1127,Jungle wa Itsumo Hare nochi Guu,7.82,TV,26,Apr 2001 - Sep 2001,"52,268 members"
1128,Kidou Senshi Gundam: Senkou no Hathaway,7.82,Movie,1,Jun 2021 - Jun 2021,"65,636 members"
1129,Kochira Katsushikaku Kameari Kouenmae Hashutsujo,7.82,TV,373,Jun 1996 - Dec 2004,"22,209 members"
1130,Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,7.82,OVA,1,Jun 2016 - Jun 2016,"450,061 members"
1131,Ling Long: Incarnation Part 2,7.82,ONA,6,Jul 2020 - Oct 2020,"3,924 members"
1132,One Piece Film: Red,7.82,Movie,1,Aug 2022 - Aug 2022,"233,721 members"
1133,Planetarian: Hoshi no Hito,7.82,Movie,1,Sep 2016 - Sep 2016,"54,749 members"
1134,Seitokai Yakuindomo Movie,7.82,Movie,1,Jul 2017 - Jul 2017,"66,939 members"
1135,Suzumiya Haruhi no Yuuutsu,7.82,TV,14,Apr 2006 - Jul 2006,"991,442 members"
1136,Tentai Senshi Sunred 2nd Season,7.82,TV,26,Oct 2009 - Mar 2010,"8,856 members"
1137,Uchouten Kazoku,7.82,TV,13,Jul 2013 - Sep 2013,"191,292 members"
1138,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,7.82,TV,12,Jul 2017 - Sep 2017,"1,497,728 members"
1139,BanG Dream! It's MyGO!!!!! Movie,7.81,Movie,2,Sep 2024 - Nov 2024,"3,483 members"
1140,Gekkan Shoujo Nozaki-kun,7.81,TV,12,Jul 2014 - Sep 2014,"1,005,298 members"
1141,Ginga Eiyuu Densetsu: Die Neue These - Kaikou,7.81,TV,12,Apr 2018 - Jun 2018,"107,770 members"
1142,Grisaia no Meikyuu: Caprice no Mayu 0,7.81,TV Special,1,Apr 2015 - Apr 2015,"260,504 members"
1143,Id:Invaded,7.81,TV,13,Jan 2020 - Mar 2020,"433,586 members"
1144,Jungle wa Itsumo Hare nochi Guu Deluxe,7.81,OVA,6,Aug 2002 - Jan 2003,"14,286 members"
1145,Kara no Kyoukai Movie 4: Garan no Dou,7.81,Movie,1,May 2008 - May 2008,"242,111 members"
1146,Kengan Ashura Season 2 Part 2,7.81,ONA,16,Aug 2024 - Aug 2024,"32,934 members"
1147,Kidou Senshi Gundam: Senkou no Hathaway - Circe no Majo,7.81,Movie,1,Jan 2026 - Jan 2026,"18,075 members"
1148,Little Witch Academia (TV),7.81,TV,25,Jan 2017 - Jun 2017,"719,509 members"
1149,Lupin the IIIrd: Jigen Daisuke no Bohyou,7.81,Movie,1,Jun 2014 - Jun 2014,"33,676 members"
1150,Maria-sama ga Miteru 3rd,7.81,OVA,5,Dec 2006 - Jul 2007,"25,497 members"
1151,Mind Game,7.81,Movie,1,Aug 2004 - Aug 2004,"98,538 members"
1152,New Initial D Movie: Legend 1 - Kakusei,7.81,Movie,1,Aug 2014 - Aug 2014,"44,897 members"
1153,Nitian Xie Shen,7.81,ONA,30,Sep 2023 - Mar 2024,"2,865 members"
1154,Shadows House,7.81,TV,13,Apr 2021 - Jul 2021,"287,787 members"
1155,Shanhe Jian Xin,7.81,ONA,16,Feb 2021 - Mar 2021,"24,038 members"
1156,Slayers Try,7.81,TV,26,Apr 1997 - Sep 1997,"59,837 members"
1157,Somali to Mori no Kamisama,7.81,TV,12,Jan 2020 - Mar 2020,"322,231 members"
1158,Tamon-kun Ima Docchi!?,7.81,TV,13,Jan 2026 - Mar 2026,"103,563 members"
1159,Tasogare Otome x Amnesia,7.81,TV,12,Apr 2012 - Jun 2012,"455,068 members"
1160,Tokyo Revengers: Tenjiku-hen,7.81,TV,13,Oct 2023 - Dec 2023,"282,596 members"
1161,Working'!!,7.81,TV,13,Oct 2011 - Dec 2011,"290,574 members"
1162,Yuru Yuri♪♪,7.81,TV,12,Jul 2012 - Sep 2012,"211,391 members"
1163,Yuukoku no Moriarty OVA,7.81,OVA,2,Apr 2022 - Apr 2022,"50,435 members"
1164,Break Blade Movie 5: Shisen no Hate,7.80,Movie,1,Jan 2011 - Jan 2011,"57,492 members"
1165,Bungou Stray Dogs,7.80,TV,12,Apr 2016 - Jun 2016,"1,573,596 members"
1166,Dance Dance Danseur,7.80,TV,11,Apr 2022 - Jun 2022,"106,503 members"
1167,Eikoku Koi Monogatari Emma: Molders-hen,7.80,TV,12,Apr 2007 - Jul 2007,"42,995 members"
1168,Gochuumon wa Usagi desu ka?? Dear My Sister,7.80,Movie,1,Nov 2017 - Nov 2017,"46,453 members"
1169,Goku Sayonara Zetsubou Sensei,7.80,OVA,3,Oct 2008 - Feb 2009,"79,922 members"
1170,Haikyuu!! (OVA),7.80,OVA,10,Mar 2020 - Mar 2020,"36,772 members"
1171,InuYasha Movie 3: Tenka Hadou no Ken,7.80,Movie,1,Dec 2003 - Dec 2003,"120,344 members"
1172,Lucky☆Star: Original na Visual to Animation,7.80,OVA,1,Sep 2008 - Sep 2008,"153,730 members"
1173,Lupin III: Part II,7.80,TV,155,Oct 1977 - Oct 1980,"39,775 members"
1174,Lupin III: The First,7.80,Movie,1,Dec 2019 - Dec 2019,"48,813 members"
1175,Magi: Sinbad no Bouken,7.80,OVA,5,May 2014 - Jul 2015,"148,730 members"
1176,Mahoujin Guruguru (2017),7.80,TV,24,Jul 2017 - Dec 2017,"35,326 members"
1177,Meitantei Conan Movie 08: Ginyoku no Time Travel Recap,7.80,TV Special,1,Apr 2004 - Apr 2004,"23,127 members"
1178,MF Ghost 2nd Season,7.80,TV,12,Oct 2024 - Dec 2024,"52,173 members"
1179,Ojamajo Doremi Dokkaan!,7.80,TV,51,Feb 2002 - Jan 2003,"19,731 members"
1180,One Piece Movie 06: Omatsuri Danshaku to Himitsu no Shima,7.80,Movie,1,Mar 2005 - Mar 2005,"123,889 members"
1181,Oomuro-ke: Dear Friends,7.80,Movie,1,Jun 2024 - Jun 2024,"10,747 members"
1182,Sekaiichi Hatsukoi 2,7.80,TV,12,Oct 2011 - Dec 2011,"178,283 members"
1183,Seto no Hanayome OVA,7.80,OVA,2,Nov 2008 - Jan 2009,"56,512 members"
1184,The Last: Naruto the Movie,7.80,Movie,1,Dec 2014 - Dec 2014,"677,915 members"
1185,Tokyo Revengers,7.80,TV,24,Apr 2021 - Sep 2021,"1,427,583 members"
1186,Trigun Stampede,7.80,TV,12,Jan 2023 - Mar 2023,"241,156 members"
1187,Xian Ni Movie: Shenlin Zhi Zhan,7.80,ONA,1,May 2025 - May 2025,"1,883 members"
1188,Baby Steps,7.79,TV,25,Apr 2014 - Sep 2014,"167,139 members"
1189,Blue Period,7.79,TV,12,Oct 2021 - Dec 2021,"538,408 members"
1190,Change!! Getter Robo: Sekai Saigo no Hi,7.79,OVA,13,Aug 1998 - May 1999,"18,604 members"
1191,Clevatess: Majuu no Ou to Akago to Shikabane no Yuusha,7.79,TV,12,Jul 2025 - Sep 2025,"218,782 members"
1192,Digimon Adventure,7.79,TV,54,Mar 1999 - Mar 2000,"429,786 members"
1193,Doraemon (2005),7.79,TV,?,Apr 2005 -,"23,819 members"
1194,Dragon Ball Kai,7.79,TV,97,Apr 2009 - Mar 2011,"439,884 members"
1195,Ginga Tetsudou 999,7.79,TV,113,Sep 1978 - Mar 1981,"47,274 members"
1196,Hibike! Euphonium Movie 3: Chikai no Finale,7.79,Movie,1,Apr 2019 - Apr 2019,"87,148 members"
1197,Jormungand,7.79,TV,12,Apr 2012 - Jun 2012,"402,896 members"
1198,Kokoro ga Sakebitagatterunda.,7.79,Movie,1,Sep 2015 - Sep 2015,"358,163 members"
1199,Little Witch Academia,7.79,Movie,1,Mar 2013 - Mar 2013,"327,033 members"
1200,Macross F Movie 1: Itsuwari no Utahime,7.79,Movie,1,Nov 2009 - Nov 2009,"33,248 members"
1201,Meitantei Conan Movie 07: Meikyuu no Crossroad,7.79,Movie,1,Apr 2003 - Apr 2003,"58,017 members"
1202,Meitantei Conan Movie 09: Suihei Senjou no Strategy,7.79,Movie,1,Apr 2005 - Apr 2005,"55,579 members"
1203,MF Ghost 3rd Season,7.79,TV,13,Jan 2026 - Mar 2026,"36,520 members"
1204,Seikai no Senki II,7.79,TV,10,Jul 2001 - Sep 2001,"25,914 members"
1205,Taishou Otome Otogibanashi,7.79,TV,12,Oct 2021 - Dec 2021,"177,621 members"
1206,Tanaka-kun wa Itsumo Kedaruge,7.79,TV,12,Apr 2016 - Jun 2016,"519,555 members"
1207,Tokyo Ghoul,7.79,TV,12,Jul 2014 - Sep 2014,"3,091,017 members"
1208,Umibe no Étranger,7.79,Movie,1,Sep 2020 - Sep 2020,"224,799 members"
1209,Wolf's Rain,7.79,TV,26,Jan 2003 - Jul 2003,"356,741 members"
1210,You Shou Yan,7.79,ONA,12,Apr 2023 - Jun 2023,"2,573 members"
1211,Beastars,7.78,TV,12,Oct 2019 - Dec 2019,"969,541 members"
1212,Chainsaw Man Recap,7.78,ONA,2,Sep 2025 - Sep 2025,"19,080 members"
1213,Coquelicot-zaka kara,7.78,Movie,1,Jul 2011 - Jul 2011,"232,156 members"
1214,Emiya-san Chi no Kyou no Gohan,7.78,ONA,13,Jan 2018 - Jan 2019,"146,246 members"
1215,"Haikyuu!! vs. ""Akaten""",7.78,OVA,1,May 2016 - May 2016,"105,318 members"
1216,Hidamari Sketch x SP,7.78,TV Special,2,Oct 2011 - Nov 2011,"17,443 members"
1217,Hoozuki no Reitetsu,7.78,TV,13,Jan 2014 - Apr 2014,"141,467 members"
1218,Inazuma Eleven,7.78,TV,127,Oct 2008 - Apr 2011,"243,825 members"
1219,Jin-Rou,7.78,Movie,1,Jun 2000 - Jun 2000,"209,522 members"
1220,Kaijuu 8-gou 2nd Season,7.78,TV,11,Jul 2025 - Sep 2025,"390,432 members"
1221,Kidou Senshi Gundam,7.78,TV,43,Apr 1979 - Jan 1980,"154,503 members"
1222,Kidou Senshi Gundam III: Meguriai Sora-hen,7.78,Movie,1,Mar 1982 - Mar 1982,"42,736 members"
1223,Kobayashi-san Chi no Maid Dragon S: Nippon no Omotenashi - Attend wa Dragon desu,7.78,Special,1,Jan 2022 - Jan 2022,"85,075 members"
1224,Kuroko no Basket Movie 2: Winter Cup - Namida no Saki e,7.78,Movie,1,Oct 2016 - Oct 2016,"44,396 members"
1225,Kuroko no Basket: Tip Off,7.78,Special,1,Feb 2013 - Feb 2013,"113,986 members"
1226,Langlang Shan Xiao Yaoguai,7.78,Movie,1,Aug 2025 - Aug 2025,"1,349 members"
1227,Last Exile,7.78,TV,26,Apr 2003 - Sep 2003,"190,264 members"
1228,Magic Kaito,7.78,TV Special,12,Apr 2010 - Dec 2012,"79,566 members"
1229,Meitantei Conan Movie 12: Senritsu no Full Score,7.78,Movie,1,Apr 2008 - Apr 2008,"52,275 members"
1230,Meitantei Conan Movie 24: Hiiro no Dangan,7.78,Movie,1,Apr 2021 - Apr 2021,"26,280 members"
1231,Mushoku Tensei: Isekai Ittara Honki Dasu - Eris no Goblin Toubatsu,7.78,Special,1,Mar 2022 - Mar 2022,"220,679 members"
1232,Nige Jouzu no Wakagimi,7.78,TV,12,Jul 2024 - Sep 2024,"217,087 members"
1233,Nodame Cantabile: Finale - Mine to Kiyora no Saikai,7.78,Special,1,Apr 2010 - Apr 2010,"47,194 members"
1234,Ranma ½,7.78,TV,161,Apr 1989 - Sep 1992,"287,157 members"
1235,Rurouni Kenshin: Meiji Kenkaku Romantan - Kyoto Douran,7.78,TV,23,Oct 2024 - Mar 2025,"65,165 members"
1236,Saint Seiya: Meiou Hades Meikai-hen,7.78,OVA,12,Dec 2005 - Feb 2007,"55,851 members"
1237,Saint☆Oniisan (Movie),7.78,Movie,1,May 2013 - May 2013,"104,956 members"
1238,Shin Kidou Senki Gundam Wing: Endless Waltz Tokubetsu-hen,7.78,Movie,1,Aug 1998 - Aug 1998,"66,816 members"
1239,"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan: Dakara, Shishunki wa Owarazu ni, Seishun wa Tsuzuiteiku.",7.78,OVA,1,Apr 2023 - Apr 2023,"132,581 members"
1240,Aggressive Retsuko (ONA) 3rd Season,7.77,ONA,10,Aug 2020 - Aug 2020,"100,344 members"
1241,Aria the Crepuscolo,7.77,Movie,1,Mar 2021 - Mar 2021,"15,625 members"
1242,BanG Dream! Garupa☆Pico: Oomori,7.77,ONA,26,May 2020 - Oct 2020,"13,866 members"
1243,Bishoujo Senshi Sailor Moon Crystal Season III,7.77,TV,13,Apr 2016 - Jun 2016,"68,905 members"
1244,Break Blade Movie 3: Kyoujin no Ato,7.77,Movie,1,Sep 2010 - Sep 2010,"61,022 members"
1245,"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",7.77,Special,1,Jul 2009 - Jul 2009,"278,722 members"
1246,Class de 2-banme ni Kawaii Onnanoko to Tomodachi ni Natta,7.77,TV,12,Apr 2026 - Jun 2026,"176,530 members"
1247,Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,7.77,OVA,1,Jul 2009 - Jul 2009,"52,163 members"
1248,Fanren Xiu Xian Zhuan,7.77,ONA,17,Jul 2020 - Nov 2020,"8,812 members"
1249,Free! Movie 4: The Final Stroke - Zenpen,7.77,Movie,1,Sep 2021 - Sep 2021,"65,239 members"
1250,Gochuumon wa Usagi desu ka??,7.77,TV,12,Oct 2015 - Dec 2015,"143,029 members"
1251,Gochuumon wa Usagi desu ka?? Sing for You,7.77,OVA,1,Sep 2019 - Sep 2019,"29,589 members"
1252,Hadashi no Gen,7.77,Movie,1,Jul 1983 - Jul 1983,"62,261 members"
1253,Innocence,7.77,Movie,1,Mar 2004 - Mar 2004,"181,696 members"
1254,Inu-Ou,7.77,Movie,1,May 2022 - May 2022,"43,468 members"
1255,Kekkai Sensen & Beyond,7.77,TV,12,Oct 2017 - Dec 2017,"481,166 members"
1256,"Komi-san wa, Comyushou desu.",7.77,TV,12,Oct 2021 - Dec 2021,"1,031,464 members"
1257,Kuroko no Basket Movie 1: Winter Cup - Kage to Hikari,7.77,Movie,1,Sep 2016 - Sep 2016,"49,192 members"
1258,Liang Bu Yi,7.77,ONA,24,Apr 2021 - Nov 2021,"14,786 members"
1259,Lupin the Third: Mine Fujiko to Iu Onna,7.77,TV,13,Apr 2012 - Jun 2012,"71,133 members"
1260,Mahoutsukai no Yome Season 2,7.77,TV,12,Apr 2023 - Jun 2023,"223,898 members"
